==========================================
SLURM_JOB_ID = 6156120
SLURM_JOB_NODELIST = d18-30
TMPDIR = /tmp/SLURM_6156120
==========================================
10_10_15_01_10_462 [22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46] [Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Sigmoid()] 100 0.001 15
Epoch 33: Loss = 0.42317, Training (Code) = 0.12706, Validation (Code) = 0.12529, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 0.99984, Validation (Z) = 1.0
Epoch 34: Loss = 0.42317, Training (Code) = 0.12578, Validation (Code) = 0.12787, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 35: Loss = 0.42317, Training (Code) = 0.12643, Validation (Code) = 0.12521, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 36: Loss = 0.42317, Training (Code) = 0.12732, Validation (Code) = 0.12671, Training (X) = 0.99992, Validation (X) = 0.99967, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 37: Loss = 0.42317, Training (Code) = 0.12654, Validation (Code) = 0.12446, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 38: Loss = 0.42317, Training (Code) = 0.12701, Validation (Code) = 0.12658, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 39: Loss = 0.42317, Training (Code) = 0.12682, Validation (Code) = 0.12533, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 40: Loss = 0.42317, Training (Code) = 0.12621, Validation (Code) = 0.12567, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99967
Epoch 41: Loss = 0.42317, Training (Code) = 0.12504, Validation (Code) = 0.1235, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 0.99992, Validation (Z) = 1.0
Epoch 42: Loss = 0.42317, Training (Code) = 0.12511, Validation (Code) = 0.12829, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 43: Loss = 0.42317, Training (Code) = 0.12655, Validation (Code) = 0.12787, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 44: Loss = 0.42317, Training (Code) = 0.12659, Validation (Code) = 0.12667, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 45: Loss = 0.42317, Training (Code) = 0.12754, Validation (Code) = 0.12421, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 46: Loss = 0.42317, Training (Code) = 0.12604, Validation (Code) = 0.12742, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 47: Loss = 0.42317, Training (Code) = 0.12672, Validation (Code) = 0.1265, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 48: Loss = 0.42317, Training (Code) = 0.12578, Validation (Code) = 0.12529, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 49: Loss = 0.42317, Training (Code) = 0.12654, Validation (Code) = 0.12587, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 50: Loss = 0.42317, Training (Code) = 0.12577, Validation (Code) = 0.12733, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99992, Validation (Z) = 1.0
Epoch 51: Loss = 0.42317, Training (Code) = 0.12701, Validation (Code) = 0.12567, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 52: Loss = 0.42317, Training (Code) = 0.12507, Validation (Code) = 0.12925, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99992, Validation (Z) = 1.0
