==========================================
SLURM_JOB_ID = 6147729
SLURM_JOB_NODELIST = d23-10
TMPDIR = /tmp/SLURM_6147729
==========================================
Epoch 1: Loss = 0.43507, Training (Code) = 0.21395, Validation (Code) = 0.21442, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99995, Validation (Z) = 1.0
Epoch 2: Loss = 0.43304, Training (Code) = 0.21877, Validation (Code) = 0.22025, Training (X) = 1.0, Validation (X) = 0.99981, Training (Z) = 0.99995, Validation (Z) = 1.0
Epoch 3: Loss = 0.43591, Training (Code) = 0.22697, Validation (Code) = 0.22833, Training (X) = 0.99995, Validation (X) = 1.0, Training (Z) = 0.99991, Validation (Z) = 1.0
Epoch 4: Loss = 0.43901, Training (Code) = 0.24099, Validation (Code) = 0.24271, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99991, Validation (Z) = 1.0
Epoch 5: Loss = 0.44484, Training (Code) = 0.26289, Validation (Code) = 0.26325, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 6: Loss = 0.45666, Training (Code) = 0.28275, Validation (Code) = 0.28342, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99993, Validation (Z) = 0.99985
Epoch 7: Loss = 0.47049, Training (Code) = 0.30304, Validation (Code) = 0.30288, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 8: Loss = 0.47921, Training (Code) = 0.3163, Validation (Code) = 0.31992, Training (X) = 0.99993, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 9: Loss = 0.48534, Training (Code) = 0.32635, Validation (Code) = 0.32729, Training (X) = 1.0, Validation (X) = 0.99987, Training (Z) = 0.99994, Validation (Z) = 0.99987
Epoch 10: Loss = 0.48986, Training (Code) = 0.33387, Validation (Code) = 0.33408, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 11: Loss = 0.49405, Training (Code) = 0.34048, Validation (Code) = 0.34358, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 12: Loss = 0.49812, Training (Code) = 0.34651, Validation (Code) = 0.34892, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99991, Validation (Z) = 1.0
Epoch 13: Loss = 0.50063, Training (Code) = 0.34799, Validation (Code) = 0.34933, Training (X) = 0.99997, Validation (X) = 0.99988, Training (Z) = 0.99994, Validation (Z) = 0.99976
Epoch 14: Loss = 0.50326, Training (Code) = 0.35094, Validation (Code) = 0.35237, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99988, Validation (Z) = 0.99988
