==========================================
SLURM_JOB_ID = 6150673
SLURM_JOB_NODELIST = d23-10
TMPDIR = /tmp/SLURM_6150673
==========================================
Epoch 34: Loss = 0.47005, Training (Code) = 0.37267, Validation (Code) = 0.37508, Training (X) = 0.99989, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 35: Loss = 0.47008, Training (Code) = 0.37171, Validation (Code) = 0.37475, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 36: Loss = 0.47011, Training (Code) = 0.37132, Validation (Code) = 0.3775, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 37: Loss = 0.47014, Training (Code) = 0.37396, Validation (Code) = 0.38017, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 0.99978
Epoch 38: Loss = 0.47017, Training (Code) = 0.37258, Validation (Code) = 0.37604, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 39: Loss = 0.47019, Training (Code) = 0.37423, Validation (Code) = 0.37654, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 0.99989
Epoch 40: Loss = 0.47021, Training (Code) = 0.37243, Validation (Code) = 0.37533, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 41: Loss = 0.47023, Training (Code) = 0.37166, Validation (Code) = 0.37662, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 42: Loss = 0.47024, Training (Code) = 0.37342, Validation (Code) = 0.3775, Training (X) = 0.99992, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 43: Loss = 0.47024, Training (Code) = 0.37338, Validation (Code) = 0.37562, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 44: Loss = 0.47023, Training (Code) = 0.37311, Validation (Code) = 0.37704, Training (X) = 0.99992, Validation (X) = 0.99989, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 45: Loss = 0.47021, Training (Code) = 0.37235, Validation (Code) = 0.37629, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 46: Loss = 0.47019, Training (Code) = 0.37292, Validation (Code) = 0.37488, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99967
