==========================================
SLURM_JOB_ID = 6156023
SLURM_JOB_NODELIST = d05-10
TMPDIR = /tmp/SLURM_6156023
==========================================
10_10_13_43_47_376 [22, 50, 50, 60, 60, 46] [Tanh(), Tanh(), Tanh(), Tanh(), Sigmoid()] 100 0.0003 20
Epoch 1: Loss = 0.50849, Training (Code) = 0.32664, Validation (Code) = 0.32675, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 2: Loss = 0.51271, Training (Code) = 0.35577, Validation (Code) = 0.35754, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 3: Loss = 0.51445, Training (Code) = 0.36373, Validation (Code) = 0.36229, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 4: Loss = 0.50348, Training (Code) = 0.36809, Validation (Code) = 0.36992, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 5: Loss = 0.5023, Training (Code) = 0.36906, Validation (Code) = 0.36883, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 6: Loss = 0.50352, Training (Code) = 0.37183, Validation (Code) = 0.37412, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 7: Loss = 0.50443, Training (Code) = 0.37168, Validation (Code) = 0.37375, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 0.99989
Epoch 8: Loss = 0.50561, Training (Code) = 0.37214, Validation (Code) = 0.37429, Training (X) = 0.99997, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 9: Loss = 0.50731, Training (Code) = 0.37259, Validation (Code) = 0.37458, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 10: Loss = 0.5095, Training (Code) = 0.37311, Validation (Code) = 0.37538, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 11: Loss = 0.51199, Training (Code) = 0.37339, Validation (Code) = 0.37662, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 12: Loss = 0.51445, Training (Code) = 0.37348, Validation (Code) = 0.37488, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 13: Loss = 0.51672, Training (Code) = 0.37507, Validation (Code) = 0.37421, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 14: Loss = 0.5188, Training (Code) = 0.37417, Validation (Code) = 0.37579, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 15: Loss = 0.52075, Training (Code) = 0.37289, Validation (Code) = 0.37783, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 16: Loss = 0.52245, Training (Code) = 0.37389, Validation (Code) = 0.37388, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 17: Loss = 0.52373, Training (Code) = 0.37281, Validation (Code) = 0.37308, Training (X) = 0.99997, Validation (X) = 0.99989, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 18: Loss = 0.52472, Training (Code) = 0.37461, Validation (Code) = 0.37654, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 19: Loss = 0.52565, Training (Code) = 0.37443, Validation (Code) = 0.37558, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 20: Loss = 0.52658, Training (Code) = 0.37556, Validation (Code) = 0.3765, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 21: Loss = 0.52747, Training (Code) = 0.37373, Validation (Code) = 0.37996, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 22: Loss = 0.52831, Training (Code) = 0.37562, Validation (Code) = 0.38, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 23: Loss = 0.52908, Training (Code) = 0.37508, Validation (Code) = 0.3785, Training (X) = 0.99997, Validation (X) = 0.99989, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 24: Loss = 0.52981, Training (Code) = 0.37367, Validation (Code) = 0.37588, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 25: Loss = 0.53056, Training (Code) = 0.37366, Validation (Code) = 0.37229, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 26: Loss = 0.53149, Training (Code) = 0.37497, Validation (Code) = 0.3765, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 27: Loss = 0.53287, Training (Code) = 0.3771, Validation (Code) = 0.37846, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 28: Loss = 0.53465, Training (Code) = 0.37561, Validation (Code) = 0.37671, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 29: Loss = 0.53634, Training (Code) = 0.37384, Validation (Code) = 0.37554, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99989, Validation (Z) = 1.0
Epoch 30: Loss = 0.53767, Training (Code) = 0.37552, Validation (Code) = 0.37804, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 31: Loss = 0.53888, Training (Code) = 0.37785, Validation (Code) = 0.37792, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 32: Loss = 0.54009, Training (Code) = 0.37499, Validation (Code) = 0.37888, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 33: Loss = 0.5414, Training (Code) = 0.37807, Validation (Code) = 0.37592, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 34: Loss = 0.54282, Training (Code) = 0.37747, Validation (Code) = 0.37792, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 35: Loss = 0.54402, Training (Code) = 0.37708, Validation (Code) = 0.37971, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 36: Loss = 0.54477, Training (Code) = 0.37766, Validation (Code) = 0.37954, Training (X) = 0.99997, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 37: Loss = 0.54527, Training (Code) = 0.37675, Validation (Code) = 0.37858, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 38: Loss = 0.54562, Training (Code) = 0.37864, Validation (Code) = 0.37754, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 39: Loss = 0.54589, Training (Code) = 0.37809, Validation (Code) = 0.37958, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 40: Loss = 0.54613, Training (Code) = 0.37846, Validation (Code) = 0.38212, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 41: Loss = 0.54635, Training (Code) = 0.37709, Validation (Code) = 0.37867, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 42: Loss = 0.54657, Training (Code) = 0.37739, Validation (Code) = 0.37854, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 43: Loss = 0.54678, Training (Code) = 0.37823, Validation (Code) = 0.37767, Training (X) = 0.99992, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 44: Loss = 0.54699, Training (Code) = 0.37648, Validation (Code) = 0.37825, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 45: Loss = 0.54719, Training (Code) = 0.37864, Validation (Code) = 0.38358, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 0.99989
Epoch 46: Loss = 0.54738, Training (Code) = 0.3781, Validation (Code) = 0.37871, Training (X) = 0.99992, Validation (X) = 0.99989, Training (Z) = 0.99997, Validation (Z) = 0.99989
Epoch 47: Loss = 0.54756, Training (Code) = 0.37627, Validation (Code) = 0.37812, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 48: Loss = 0.54773, Training (Code) = 0.37699, Validation (Code) = 0.37742, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 49: Loss = 0.54789, Training (Code) = 0.37843, Validation (Code) = 0.38071, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 50: Loss = 0.54804, Training (Code) = 0.37838, Validation (Code) = 0.37871, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 51: Loss = 0.54818, Training (Code) = 0.37626, Validation (Code) = 0.38104, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 52: Loss = 0.5483, Training (Code) = 0.37856, Validation (Code) = 0.37862, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 53: Loss = 0.54842, Training (Code) = 0.37857, Validation (Code) = 0.38321, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 54: Loss = 0.54852, Training (Code) = 0.37923, Validation (Code) = 0.38167, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 55: Loss = 0.54861, Training (Code) = 0.37706, Validation (Code) = 0.38221, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 56: Loss = 0.54869, Training (Code) = 0.37952, Validation (Code) = 0.38067, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 57: Loss = 0.54876, Training (Code) = 0.37824, Validation (Code) = 0.37804, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 58: Loss = 0.54882, Training (Code) = 0.37709, Validation (Code) = 0.38496, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 59: Loss = 0.54888, Training (Code) = 0.37707, Validation (Code) = 0.3785, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 60: Loss = 0.54893, Training (Code) = 0.37769, Validation (Code) = 0.38096, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 61: Loss = 0.54897, Training (Code) = 0.37721, Validation (Code) = 0.3765, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 62: Loss = 0.54901, Training (Code) = 0.3776, Validation (Code) = 0.38058, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 63: Loss = 0.54905, Training (Code) = 0.37784, Validation (Code) = 0.38312, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 0.99989
Epoch 64: Loss = 0.54908, Training (Code) = 0.37824, Validation (Code) = 0.37821, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 65: Loss = 0.54911, Training (Code) = 0.37896, Validation (Code) = 0.38304, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 66: Loss = 0.54914, Training (Code) = 0.37803, Validation (Code) = 0.38042, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 67: Loss = 0.54917, Training (Code) = 0.37857, Validation (Code) = 0.381, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 68: Loss = 0.54919, Training (Code) = 0.37862, Validation (Code) = 0.37738, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 69: Loss = 0.54922, Training (Code) = 0.37797, Validation (Code) = 0.37942, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 0.99989
Epoch 70: Loss = 0.54924, Training (Code) = 0.37732, Validation (Code) = 0.38071, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 71: Loss = 0.54927, Training (Code) = 0.37803, Validation (Code) = 0.38342, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 72: Loss = 0.54929, Training (Code) = 0.37823, Validation (Code) = 0.37992, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 73: Loss = 0.54932, Training (Code) = 0.37751, Validation (Code) = 0.38058, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 74: Loss = 0.54934, Training (Code) = 0.37781, Validation (Code) = 0.38262, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 0.99989
Epoch 75: Loss = 0.54937, Training (Code) = 0.37808, Validation (Code) = 0.38117, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 76: Loss = 0.54939, Training (Code) = 0.37814, Validation (Code) = 0.37958, Training (X) = 0.99997, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 77: Loss = 0.54942, Training (Code) = 0.37838, Validation (Code) = 0.38108, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 78: Loss = 0.54945, Training (Code) = 0.37885, Validation (Code) = 0.38017, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 79: Loss = 0.54948, Training (Code) = 0.37872, Validation (Code) = 0.38304, Training (X) = 1.0, Validation (X) = 0.99989, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 80: Loss = 0.54951, Training (Code) = 0.37796, Validation (Code) = 0.37921, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 81: Loss = 0.54954, Training (Code) = 0.37891, Validation (Code) = 0.38229, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99995, Validation (Z) = 1.0
Epoch 82: Loss = 0.54957, Training (Code) = 0.3789, Validation (Code) = 0.37783, Training (X) = 1.0, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 83: Loss = 0.54959, Training (Code) = 0.37753, Validation (Code) = 0.37783, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 84: Loss = 0.54962, Training (Code) = 0.37832, Validation (Code) = 0.38058, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 85: Loss = 0.54964, Training (Code) = 0.37919, Validation (Code) = 0.37988, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 86: Loss = 0.54965, Training (Code) = 0.37849, Validation (Code) = 0.37796, Training (X) = 1.0, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 87: Loss = 0.54965, Training (Code) = 0.37946, Validation (Code) = 0.38038, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 88: Loss = 0.54962, Training (Code) = 0.37797, Validation (Code) = 0.38, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 89: Loss = 0.54958, Training (Code) = 0.37961, Validation (Code) = 0.38096, Training (X) = 0.99995, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 90: Loss = 0.54951, Training (Code) = 0.37801, Validation (Code) = 0.38188, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 91: Loss = 0.54942, Training (Code) = 0.37788, Validation (Code) = 0.37871, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 92: Loss = 0.54932, Training (Code) = 0.37902, Validation (Code) = 0.37854, Training (X) = 0.99997, Validation (X) = 0.99989, Training (Z) = 0.99992, Validation (Z) = 0.99989
Epoch 93: Loss = 0.5492, Training (Code) = 0.37894, Validation (Code) = 0.38133, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 94: Loss = 0.54908, Training (Code) = 0.3783, Validation (Code) = 0.38004, Training (X) = 1.0, Validation (X) = 0.99989, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 95: Loss = 0.54896, Training (Code) = 0.37967, Validation (Code) = 0.38062, Training (X) = 0.99997, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 96: Loss = 0.54885, Training (Code) = 0.37832, Validation (Code) = 0.38325, Training (X) = 0.99989, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 97: Loss = 0.54874, Training (Code) = 0.37981, Validation (Code) = 0.381, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
